course,college,type,2008_min,2008_max,2008_avg,2008_use,2009_min,2009_max,2009_avg,2009_use,2010_min,2010_max,2010_avg,2010_use,2011_min,2011_max,2011_avg,2011_use,2012_min,2012_max,2012_avg,2012_use,2013_min,2013_max,2013_avg,2013_use,2014_min,2014_max,2014_avg,2014_use,2015_min,2015_max,2015_avg,2015_use,2016_min,2016_max,2016_avg,2016_use
Physics,Acharya Nar. Dev,Science,75,,NaN,75,71,,NaN,71,74,,NaN,74,76,,NaN,76,80,,NaN,80,NA,NA,NA,NA,94,,NaN,94,96,,NaN,96,NA,NA,NA,NA
Physics,A.R.S.D,Science,78,,NaN,78,74,,NaN,74,74,,NaN,74,78,,NaN,78,80,,NaN,80,88,,NaN,88,96,,NaN,96,96,,NaN,96,NA,NA,NA,NA
Physics,Bhaskaracharya College of Appld. Sciences,Science,81,,NaN,81,78,,NaN,78,80,,NaN,80,86,,NaN,86,86,,NaN,86,90,,NaN,90,93.66,,NaN,93.66,93,,NaN,93,94,,NaN,94
Physics,Deen Dayal Upadhayaya,Science,73,,NaN,73,75,,NaN,75,76,,NaN,76,82,,NaN,82,90,,NaN,90,94,,NaN,94,94,,NaN,94,96,,NaN,96,96,,NaN,96
Physics,Dyal Singh,Science,75,,NaN,75,74,,NaN,74,72,,NaN,72,78,,NaN,78,81,,NaN,81,89,,NaN,89,94,,NaN,94,94,,NaN,94,95,,NaN,95
Physics,Deshbandhu,Science,72,,NaN,72,70,,NaN,70,70,,NaN,70,80,,NaN,80,86,,NaN,86,86,,NaN,86,92,,NaN,92,94,,NaN,94,94,,NaN,94
Physics,Gargi,Science,78,,NaN,78,76.33,,NaN,76.33,77,,NaN,77,87,,NaN,87,89,,NaN,89,90.33,,NaN,90.33,95,,NaN,95,96,,NaN,96,96,,NaN,96
Physics,Hans Raj,Science,87,,NaN,87,88,,NaN,88,91,,NaN,91,96,,NaN,96,96,,NaN,96,97,,NaN,97,97.33,,NaN,97.33,97.33,,NaN,97.33,97,,NaN,97
Physics,Hindu,Science,90.33,,NaN,90.33,91,,NaN,91,NA,NA,NA,NA,96.66,,NaN,96.66,97,,NaN,97,96.66,,NaN,96.66,97.33,,NaN,97.33,98,,NaN,98,98,,NaN,98
Physics,Kalindi,Science,72,,NaN,72,68,,NaN,68,70,,NaN,70,75,,NaN,75,77,,NaN,77,77,,NaN,77,90,,NaN,90,91,,NaN,91,93,,NaN,93
