course,college,2008_min,2009_min,2010_min,2011_min,2012_min,2013_min,2014_min,2015_min,2016_min,2017_min
Physics,Acharya Narendra Dev College,75,71,74,76,80,86,94,96,96,95
Physics,Atma Ram Sanatan Dharma College,78,74,74,78,80,88,96,96,97,95
Physics,Bhaskaracharya College of Applied Sciences,81,78,80,86,86,90,93.66,93,94,94
Physics,Deen Dayal Upadhyaya,73,75,76,82,90,94,94,96,96,96
Physics,Dyal Singh,75,74,72,78,81,89,94,94,95,95
Physics,Deshbandhu,72,70,70,80,86,86,92,94,94,96
Physics,Gargi,78,76.33,77,87,89,90.33,95,96,96,95.66
Physics,Hans Raj,87,88,91,96,96,97,97.33,97.33,97,96.66
Physics,Hindu,90.33,91,NA,96.66,97,96.66,97.33,98,98,96.66
Physics,Kalindi,72,68,70,75,77,77,90,91,93,92
Physics,Keshav Mahavidyalaya,77,82,85,83,84,93,94,95,95,94.33
Physics,Kirori Mal,86,83,85,92,94.66,95.33,95.66,97,98,96
Political Science,Kalindi,62,60,60,65,65,67,80,82,85,82
Physics,Maitreyi,74,73,72,82,86,92,85,95,96,96
Physics,Miranda House,80.66,82,84,92,95,94.33,96.33,96.67,96.67,96.67
Physics,Motilal Nehru,75,70,77,78,85,92,94,94,96,94
Physics,Rajdhani,75,72,71,75,82,87,88,90,94,92
Physics,Ramjas,82,88,84,88,96,96,96.5,96.66,97.66,96.66
Electronics,Shaheed Rajguru College of Applied Sciences for Women,83,77,85,80,80,94,94,93,94,90
Physics,S.G.T.B. Khalsa,80,81,82.67,NA,92,94,94.66,96,98.33,98
Physics,Shivaji,73,65,70,75,82,88,90,95,96,96
Physics,Sri Venketeswara,87,86,88,93.33,93.33,96,96,96.67,97,96.33
Physics,Swami Shardhanand,77,78,80,80,80,NA,95,91,92,92
Chemistry,Acharya Narendra Dev College,72,70,73,75,78,85,92,94,97,95
Chemistry,Atma Ram Sanatan Dharma College,73,70,72,76,79,90,96,96,97.5,94
Instrumentation,Bhaskaracharya College of Applied Sciences,80,72,65,80,80,NA,95,93,95,92
Chemistry,Daulat Ram,78,75,77,90,91,95,95.66,96.66,96.66,97
Chemistry,Dyal Singh,72,72,72,75,78,85,94,95,96,95
Chemistry,Deshbandhu,70,67,68,70,80,80,88,94,92,94
Chemistry,Gargi,76,74,75,87,89,90,93,95,95.33,94.66
Chemistry,Hans Raj,80,81,85,94,95,97,97,97.33,97.33,97.33
Chemistry,Hindu,86,86,NA,95,95.33,96.33,97,97.33,97.33,96.33
Chemistry,Kirori Mal,80,79,81,88,92,95,94,96.66,97.33,96
Sanskrit,Kalindi,45,45,45,45,45,50,45,45,45,45
Chemistry,Maitreyi,72,70,70,80,84,94,88,95,96,96
Chemistry,Miranda House,78,78,82,90,93,95.67,95.67,96.67,96.67,96.67
Chemistry,Motilal Nehru,75,70,70,82,88,91,92,93,95,95
Chemistry,Rajdhani,74,70,69,72,80,85,85,92,95,90
Chemistry,Ramjas,81,82,82,83,93.5,96,95,96,98,96
Instrumentation,Shaheed Rajguru College of Applied Sciences for Women,80,75,70,75,75,NA,91,91,94,89
Chemistry,S.G.T.B. Khalsa,78,76,81,NA,90,95,93.66,96,98.33,98
Chemistry,Shivaji,68,60,65,70,80,88,89,93,95,95
Chemistry,Sri Venketeswara,80,74,NA,89,92,95.67,96,96,96,95.33
Botany,Acharya Narendra Dev College,68,65,68,65,72,74,85,87,96,88
Food Technology,Bhaskaracharya College of Applied Sciences,83,80,78,80,86,95,95,95,96,95
Botany,Daulat Ram,75,73,74,80,79,83,90,91,93,92
Botany,Dyal Singh,68,67,68,70,70,80,87,88,91,91
Botany,Deshbandhu,70,70,68,68,75,72,82,85,86,90
Botany,Gargi,74,72,69,69,71,80,86,89,90,92
Botany,Hans Raj,75,78,76,82,81,92,92,94,94,95
Botany,Hindu,82,81,78,80,85,92,93,94,95,95.33
Botany,Kirori Mal,74,75,75,84,82,86,87,95,95.5,95.66
Botany,Maitreyi,72,70,68,72,74,73,80,90,90,92
Economics,P.G.D.A.V.,89,87,87,87,89,91,94,95,96.5,95
Botany,Ramjas,75,76,76,78,81,86,90,91,93,93
Food Technology,Shaheed Rajguru College of Applied Sciences for Women,85,80,80,80,80,96,94,93,94,93
Botany,S.G.T.B. Khalsa,70,70,71,72,75,91,87,92.67,94.66,96.33
Botany,Shivaji,70,63,64,68,73,78,86,91,93,93
